id,file,category,source_title,author,source_url,license,duration_seconds,review_note,decision,final_usage,edit_instruction
D01,day/01_day_current_reference.mp3,bgm_day,ambient-music,giangallegos,https://freesound.org/s/812170/,CC0,55.577,当前正式昼夜共用曲；本包作为白天风格和响度参考,confirmed,bgm_day_playlist_01,整段播放；白天播放池第 1 首；开头与结尾各烘焙 2 秒淡化；自然结束后播放下一首
D02,day/02_day_peaceful_village.mp3,bgm_day,Peaceful village loop,elerya,https://opengameart.org/content/peaceful-village-loop,CC-BY 3.0,16.144,柔和简单且干扰低；短循环重复风险较高,candidate
D03,day/03_day_woodland_fantasy.mp3,bgm_day,Woodland Fantasy,Matthew Pablo,https://opengameart.org/content/woodland-fantasy,CC-BY 3.0,150.048,中世纪幻想村镇感明确；旋律比当前曲更突出,confirmed,bgm_day_playlist_03,整段播放；白天播放池第 2 首；开头与结尾各烘焙 2 秒淡化；自然结束后播放下一首
D04,day/04_day_tower_of_great_lords.mp3,bgm_day,Tower of Great Lords,Alexandr Zhelanov,https://opengameart.org/content/tower-of-great-lords,CC-BY 3.0,226.255,轻中世纪主题且发展充分；适合长时间经营,confirmed,bgm_day_playlist_04,整段播放；白天播放池第 3 首；开头与结尾各烘焙 2 秒淡化；自然结束后播放下一首
D05,day/05_day_path_to_lake_land.mp3,bgm_day,Path to Lake Land,Alexandr Zhelanov,https://opengameart.org/content/path-to-lake-land,CC-BY 3.0,254.774,舒缓旅行感和空间感；较长且不易快速重复,confirmed,bgm_day_playlist_05,整段播放；白天播放池第 4 首；开头与结尾各烘焙 2 秒淡化；自然结束后播放下一首
D06,day/06_day_town.mp3,bgm_day,Town,Alexandr Zhelanov,https://opengameart.org/content/campaign-more-music-inside,CC-BY 3.0,27.532,短小城镇主题；质感直接且较轻,candidate
D07,day/07_day_middle_age_theme_1.mp3,bgm_day,Middle Age RPG Theme 1,Alexandr Zhelanov,https://opengameart.org/content/campaign-more-music-inside,CC-BY 3.0,113.000,传统中世纪 RPG 气质；比当前曲更有叙事感,confirmed,bgm_day_playlist_07,整段播放；白天播放池第 5 首；开头与结尾各烘焙 2 秒淡化；自然结束后播放下一首
D08,day/08_day_castle.mp3,bgm_day,Castle,Alexandr Zhelanov,https://opengameart.org/content/campaign-more-music-inside,CC-BY 3.0,58.188,城堡氛围略庄重偏暗；可判断白天是否需要压力感,candidate
D09,day/09_day_medieval_lute_chords.mp3,bgm_day,Medieval Lute Chords,f-r-a-g-i-l-e,https://freesound.org/s/506266/,CC0,14.460,极简鲁特琴且不抢注意力；短循环容易听出重复,candidate
D10,day/10_day_medieval_flute_riff.mp3,bgm_day,Medieval Flute Riff,f-r-a-g-i-l-e,https://freesound.org/s/506265/,CC0,14.460,轻柔木笛和游吟感；旋律亮且短,candidate
D11,day/11_day_village_theme.mp3,bgm_day,Village Main Theme,ZHRØ,https://freesound.org/s/527321/,CC-BY 4.0,52.050,适合 RPG 村落且可循环；合成器音色可能略现代,candidate
D12,day/12_day_harp_arpeggio.mp3,bgm_day,Harp Arpeggio - Medieval Tune,gertraut_hecher,https://freesound.org/s/564024/,CC-BY-NC 4.0,44.397,上一轮白天候选；村庄广场感明确但鼓点和旋律更活跃,confirmed,bgm_day_playlist_12,整段播放；白天播放池第 6 首；开头与结尾各烘焙 2 秒淡化；自然结束后回到第 1 首
N01,night/01_night_venture.mp3,bgm_night,Venture At Night,ManuelGraf,https://freesound.org/s/794254/,CC-BY 4.0,21.333,上一轮夜晚候选；短循环且有轻微夜间冒险张力,candidate
N02,night/02_night_dark_castle.mp3,bgm_night,Dark Castle Night Ambience,szegvari,https://freesound.org/s/534877/,CC0,19.643,上一轮夜晚候选；安静阴冷且旋律存在感低,candidate
N03,night/03_night_good_night.mp3,bgm_night,Good Night,SergeQuadrado,https://freesound.org/s/654729/,CC-BY-NC 4.0,24.000,上一轮夜晚候选；平静温和且接近休息氛围,candidate
